Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments
,,8,captaincardone & paisley5002,7,28,35,1st,Yes (5.5),3rd,12 (7.5),10th,1 (1),7th,2.917 (4),18,,21,0,5,8,12,6,0,0,31,"Peter Parker, Homecoming",King Black Panther,"Peter Parker, Homecoming",King Black Panther,Second attempt,4,"Spider-man, Spider-man, Does whatever a spider can. Turns out one of those is proccing ambushes on King Black Panther"
,,9,Off the Cuff,31,32,63,1st,Yes (5.5),9th,25 (2),1st,0 (6),9th,2.52 (2),15.5,,1,2,1,3,7,5,2,0,18,White Wolf,Wolfsbane,White Wolf,Wolfsbane,Second attempt,5,There's little that's more satisfying in all of Legendary than winning Blackjack against the Mastermind
,,10,Babybreloom,36,47,83,1st,Yes (5.5),10th,33 (1),1st,0 (6),10th,2.515 (1),13.5,,11,7,0,3,3,3,1,0,10,Tony Stark,"Wong, Master of the Mystic Arts",Tony Stark,"Wong, Master of the Mystic Arts",Second attempt,4,"A Mastermind tactic added a Henchmen to a victory pile right from the villain deck, accommodating for a missing card. 

That aside, Wong and Tony Stark worked okay for me, leaving me a bit nervous but getting me there at the end. Had some close calls, and was fortunate with the scheme twists!"
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Exodus 9:1 - Let My (Hidden) People Go,1,MicroDisney0505,40,48,88,1st,Yes (6.5),1st,25 (9),1st,0 (7),2nd,3.52 (8),30.5,,8,16,1,2,7,0,4,0,14,Luke Cage Noir,Strong Guy,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"One side focused on recruit cards and could shatter Exodus down to 1 or 2 attack.  The other side took care of the city. I don't think I did enough to move on, but it has been a great tournament.  Good luck in the next pods to everyone."
,,2,Avataristche,49,57,106,1st,Yes (6.5),2nd,30 (7.5),1st,0 (7),1st,3.533 (9),30,,8,23,1,2,4,0,2,0,9,Luke Cage Noir,Strong Guy,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,Ramp-ramp-ramp!
,,3,ChuckBauer,53,64,117,1st,Yes (6.5),5th,34 (5),1st,0 (7),3rd,3.441 (7),25.5,,11,26,1,1,2,0,0,0,4,Luke Cage Noir,Shatterstar,Luke Cage Noir,Thing,First attempt,3,"Luke Cage Noir was an obvious choice, with every other required hero card already being 4+ in cost. There was enough yellow and blue that I thought I could make Shatterstar work. Sadly, he really never showed up. But Luke Cage Noir was an absolute beast!"
,,4,R3DJ0N,52,58,110,1st,Yes (6.5),4th,33 (6),1st,0 (7),5th,3.333 (5),24.5,,6,24,2,1,2,0,1,0,6,Mr. Fantastic,Luke Cage Noir,Mr. Fantastic,Luke Cage Noir,First attempt,4,"I wanted lots of draw and some cards that could scale to defeat Exodus, Mr. Fantastic and Luke Cage Noir do both of those things. Weight of the World and One Gigantic Hand fortunately both came up so I got the win. Wouldn't be surprised if someone had a faster win  with more points per turn though. I didn't see any copies of follow big leads either game."
,,5,zorotok,55,48,103,1st,Yes (6.5),2nd,30 (7.5),8th,3 (2),4th,3.433 (6),22,,7,20,2,0,2,0,5,0,9,Luke Cage Noir,Strong Guy,Luke Cage Noir,Strong Guy,Second attempt,5,Shatter creates so much math but is extremely fun to find the most efficient use of all card values. This set up was made for Luke Cage Noir. I put Strong Guy in to continue the 4 cost theme and had great synergy with Multiple Man. Slow start but accelerated very quickly once cards stared lining up.
,,6,dontfeedthegreen,45,65,110,7th,No (2),7th,39 (2),1st,0 (7),6th,2.821 (4),15,,20,21,0,0,0,0,0,0,0,Strong Guy,Luke Cage Noir,Siryn,Luke Cage Noir,Second attempt,4,"Match 1 I used Strong Guy & Luke Cage Noir. My HQ got clogged early with expensive/Recruit cards while the city filled up with Sinister Clones and 4 Villains escaped. After that I was recovering, KOing well to thin my decks, but my first hit on the Mastermind led to hand full of grey for the other player, which coinciding with back-to-back Twists and another low Recruit hand that finished me off. Match 2, I took Siryn instead of Strong Guy and I had things much more under control. No escapes, and I only lost 2 Bystanders to the Scheme. I could not convince the HQ to give me any KO cards though. Disappearing Act pulled a Disappearing Act! This slowed me so much that I could not get the final blow before the Villain deck ran out. Still, I figure a no-escape draw is better than a loss! At least reporting what was left in my Villain deck was easy!"
,,7,coldvein & raja,65,35,100,1st,Yes (6.5),6th,36 (4),9th,5 (1),7th,2.778 (3),14.5,,30,24,0,0,1,0,2,0,3,Silver Surfer,Human Torch,Silver Surfer,Human Torch,Second attempt,4,We had a lot of fun.  We were ravaged in the fist game with clones and twists.  We had a good bounce back in game two thanks to our first twists coming near the halfway point.
,,8,Justitiana,58,47,105,7th,No (2),7th,39 (2),7th,2 (3),8th,2.692 (2),9,,11,23,0,0,0,0,0,0,0,Rictor,Shatterstar,Luke Cage Noir,Thing,First attempt,4,"My first attempt was so close to being a win. I could draw two cards from an Acolyte's FIght Effect but drew a wound as the second draw. If that draw had been the top card at the end of the game instead I could have investigated for instinct or ranged, which would have given me Shatterstar's 3-cost which would have given me enough recruit to shatter Exodus an extra time and my attack total would have been his Final Blow. This setup felt really brutal, and at the start I even thought that my first attempt would be over really quickly because I ended up drawing 2 schemes back to back for the first 2 cards (I only 'saved/rescued/interrogated (what is the right term?)'  one hidden witness, so 2 bystanders still ended up in the escape pile). WIth enough bad luck that seemed like it could end the game before it really took off, but luckily it ended up not being a big problem for attempt 1 (or attempt 2). Attempt 1 made me switch heroes, as I noticed that 9 recruit was enough to make shatterstar a 4 attack enemy. Shatterstar and Rictor just didn't feel like they pulled their weight in the first attempt, but that was in hindsight only because Exodus is just a really hard mastermind. I chose to go for Luke Cage Noir and Thing in my second attempt, just hoping I could squeeze out enough recruit, which I did, but it turned out worse than attempt 1.

In attempt 1 I managed to clone and/or recruit all multiple men. The recruit and K.O. cards ended up in deck 1 and the investigate and attack 'ramp' cards in deck 2. For attempt 1 deck 2 turned out to be the support deck, not being able to get close to Exodus numbers and helping out with hidden witnesses and clearing the city. Deck 1 in attempt 1 was almost strong enough to win (as you can read above) and managed to defeat Exodus 4 times of which the pressure becaame intense for urns 31 and above, as these turns needed to be so good that I could defeat Exodus (almost) once every turn and unfortunately I came up short (Friggin' wound!) in turn 39.

Attempt 2 only had 38 turns, because Emma Frost managed to escape and investigate a scheme twist. In that attempt I managed to defeat Exodus twice with deck 1 and once with deck 2. I got recruit f*cked in that game too, just managing to clone Grant Ward for Deck 2 and a Maria Hill for Deck 1 with Mr. Sinister Clones. I had a LOT of turns where I had loads of recruit but no attack, which was terrible allround. Partly because of that instead of only 2 escpaes (as in attempt 1) 5 villains escaped in attempt 2.

Fun level was pretty much right  between middle and high, because it felt just tense enough that you could still believe in a win (at least in attempt 1), but I was just unlucky enough to not do so... Most of the acolytes were pretty defeatable, most escapes were due to the double filling of the city by Mr. Sinister Clones. Luke Cage's recruit 4 cost did only seem very strong on paper, in practice he managed to not do much. Maybe also because K.O.-ing starter cards was down to Multpile Man's Rare and Invisible Woman's Disappearing act (which didn't do much, as I mostly recruited other cards in her turns and/or chose to 'save/rescue/interrogate' hidden witnesses, to prevent a potential 'Evil Wins'-situation.

If enough people in pod 25 manage to defeat Exodus I think this was my swan song for this tournament, but perhaps they all struggle a bit as well (in which case I think I still have a chance). Thanks to Kylah for all the work behind the scenes. I can't imagine it being simple or easy to come up with so many setups in increasing difficulty every week on a tight schedule. I enjoyed my run so far and will hopefully have some time for the Randomizer League again soon. Peter, Out!"
,,9,Jmaster1324,60,44,104,7th,No (2),7th,39 (2),6th,1 (4),9th,2.667 (1),9,,16,24,0,0,0,0,0,0,0,Thing,Silver Surfer,Strong Guy,Thing,Second attempt,2,Wowzers that was rough. Maybe it was my hero choices I couldn't figure out if recruit or attack was more important and in the end I think I failed to do both. I did get much closer to winning though on game 2 with only 1 tactic and the FB left compared to having taken only 1 tactic on game 1.
,,10,Wicked.pepper,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Symbiote in the Sky, I Can Go Twice as High",1,Loconnole & Klcgolf,25,28,53,1st,Yes (5),1st,16 (9),1st,0 (6),1st,3.313 (9),29,,3,5,2,6,8,7,2,0,25,Human Torch,Wolverine (X-Force),Human Torch,Wolverine (X-Force),Second attempt,5,"We absolutely blew through this! a ton of synergy with the heroes we chose, got a lot of the bigger villains to kill, very fun!"
,,2,TheMelkMan & Snapcity57,40,19,59,1st,Yes (5),3rd,19 (7),1st,0 (6),2nd,3.105 (8),26,,21,3,5,5,6,4,2,0,22,Symbiote Spider-Man,Scarlet Spider,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,The melking continues
,,3,BradyVBBB#6846,39,38,77,1st,Yes (5),8th,26 (2),1st,0 (6),3rd,2.962 (7),20,,1,5,2,2,4,5,1,0,14,Cable,Forge,Forge,Punisher,Second attempt,4,Was able to get BFG early and was sweating bullets during every feast. Punisher helped fight a few extra villains to give a slightly better score than the first game.
,,4,Bikk_Bikk,41,32,73,1st,Yes (5),7th,25 (3),1st,0 (6),4th,2.92 (6),20,,9,6,3,4,6,3,0,0,16,Spider-Woman,Forge,Spider-Woman,Forge,Second attempt,5,"Forge was intended to meld with Mr. F and Domino. And aid in the destruction of the Phalanx. He did that serviceably. In attempt 1 he whipped out his you know what and got a free hit on Carnage to end the game. His you know what stayed hidden in attempt 2, but Domino peaked in attempt 2. Because of some twisting equations the last left hand of the game started with 9 cards, and ended up including all three specialized ammunitions, which allowed to clear the city and get the final blow in one turn, which was very hyped. 
Right hand wanted to go with the rest of the gang (Spider-Woman, Colossus, and Black Cat). Attempt one shed some light on a wicked combo of radioactive spider putting a high attack card on top of my deck, then pickpocketing it, then drawing it back with bioelectric shock. I did that with Cat Burglar (5 printed attack) twice, yielding 12 attack between the four cards every time, which allowed for some great turns. Attempt 2 didn't have smooth moves like attempt 1, but I managed to recruit the heavy tank and some silent statues, which just led to blunt force trauma to Carnage. Why draw many cards when few cards do trick?
All in all attempt 2 took less turns than attempt 1. I was super excited to hit Carnage for the first time on turn 14. The scheme was scary but didn't threaten any escapes so I got to focus on Carnage a lot. Similar with his Strike ability. I actually welcomed him deck thinning for me. Until he feasted on Cat burglar in attempt 2. Things got personal and two left turns later Domino avenged BC with emphasis. 
Fun setup! Hope it turns out well enough!"
,,5,AntDude,22,31,53,1st,Yes (5),4th,22 (5.5),1st,0 (6),7th,2.409 (3),19.5,,9,2,3,3,8,5,0,0,19,Invisible Woman,Wolverine (X-Force),Invisible Woman,Wolverine (X-Force),Second attempt,4,"A fun group to race against the clock with, and lots of KO potential helped with Feast, the Villain groups (thanks double KO Moloids!), and the heroes I picked. Attempt 1 went well, getting Russian Heavy Tank early thanks to versatile, but Carnage feasted on it before I got to use it. 2nd attempt went much smoother, with the combo of Invisible Woman’s rare negating ambushes to draw 2 cards to consistently activating Wolverine’s Sudden Ambush for MM hits. VP is low, but hopefully speed helps here!"
,,6,SharkNate-O & onthegeniusofsamrockwell,16,28,44,1st,Yes (5),4th,22 (5.5),1st,0 (6),9th,2 (1),17.5,,12,0,2,4,8,4,2,0,20,Human Torch,Spider-Woman,Human Torch,Spider-Woman,Second attempt,4,"Great fun! In both of our games, by turn two, we had three ultimates fill the HQ, which was difficult to deal with. Also in both games, Carnage also feasted on some ultimates which definitely sucked. However, we were able to bounce back better on the second attempt. Human Torch paired well with Colossus and Spider-Woman paired well with Black Cat. And Mr. Fantastic and Domino cards filled in the space between each deck. The heroes were pretty rounded. One of us went wound gain heavy with Colossus and Human Torch and the other went Wall-Crawl heavy with Black Cat and Spider-Woman."
,,7,Mangostrike,14,27,41,1st,Yes (5),2nd,18 (8),8th,1 (2),8th,2.278 (2),17,,13,2,4,3,9,6,1,0,23,Forge,Cable,Forge,Iron Fist,Second attempt,5,"Forge was an obvious choice for me, and I was able to pull his rare in both games, leading to an early end to the 2nd game (18 turns). First game I went for the XF synergy, but Cable didn't really do anything for me and I got choked down on recruit and Black Cat cards. Second game I switched to Iron Fist to try and get synergy with Colossus' strength cards. Not sure if I should have submitted my first game (0 escape, 22 turns, 2.68 ppt) or second game (1 escape, 18 turns, 2.27 ppt). I feel like the turns are weighted much more than escapes, but this could have been a miscalculation."
,,8,Handballermann & Efruhuhn,34,41,75,1st,Yes (5),9th,28 (1),1st,0 (6),6th,2.679 (4),16,,7,6,1,4,5,3,0,0,13,Thing,Cable,Thing,Cable,Second attempt,4,"We had some nice rounds. Easy scheme, low HP Mastermind. We chose cable, to ""rush"" the mastermind and get low on turns. Thing synergy with Mr. F was fantastic.
(Random) feast sucks. Over the second game we KO'd 30 cards, which costed 25 money and got legendary sniped 2 times. Black Cats Wall Crawl and top card reveal allowed us to control the Feasts a bit."
,,9,WingedCrusader,21,44,65,1st,Yes (5),6th,23 (4),9th,2 (1),5th,2.826 (5),15,,23,4,4,4,4,6,2,0,20,Spider-Woman,Angel,Spider-Woman,Human Torch,Second attempt,5,"I thought my first game went well with 2 escapes and round 32, but my second run was insane! I managed to get Mr. Fantastic and human torch going (I felt angel wasn't synergizing with the rest as much as I'd hoped). Spider-woman is probably my favorite hero at this point with how much value she provides, and in the scenario she really shined with being able to get targeted feasts and some small synergies with the occasional blackcat sadness.  I managed to get the unstable molecules/one gigantic hand combo alongside HT's rare pretty early, and that cleared multiple masterminds.  

I love fighting carnage its such chaos and I love deckthinning its why I love marvel legendary there's so much deckthinning!!!"
,,10,Dre 2 point 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,Some Breach Will Get This Stane Out,1,Gideon Wyatt & Wife,39,41,80,1st,Yes (3),2nd,28 (3),1st,0 (3),1st,2.857 (4),13,,2,4,2,3,10,3,1,0,19,Dr. Octopus,"Uatu, The Watcher",I did not play a second attempt.,I did not play a second attempt.,First attempt,3,"I chose Doc Ock because his tech and draw complimented Iron Man, and Uatu gave a lot of what if... options to utilize Sabertooth's top deck control. It worked really well. I was able to KO all 4 Shield troopers out of my deck fighting Destroyer, and then 3 Agents after I put it back with the Tactic. P2 had the Iron Man/ Doc Ock deck and was basically able to draw most of her deck every turn after getting it going. Fun game. Made me consider what I was missing by not using Villains as much."
,,2,Brentcampbell9790,49,18,67,1st,Yes (3),1st,25 (4),1st,0 (3),3rd,2.68 (2),12,,31,5,1,2,4,3,0,0,10,Apocalyptic Black Widow,Doctor Strange Supreme,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"That was pretty fun. I feel like an unlucky shuffle can really end it quickly for you with that scheme, though. I wasn't sure if I needed to report the dimension that got KO'ed by turn 10. Anyway, it was fun and tense because I pulled a Twist from every dimension very early so every turn could have ended a dimension. Dr. Strange helped the left hand stay on top of both the city and the MM. Right went with Apoc BW and some Iron Man Tech but wasn't able to materialize anything from it."
,,3,Montax30,84,14,98,1st,Yes (3),3rd,35 (2),4th,7 (1),2nd,2.8 (3),9,,70,21,1,2,4,3,1,0,11,Apocalyptic Black Widow,Black Widow,Apocalyptic Black Widow,Black Widow,First attempt,4,Black Widow is really op
,,4,Mikeygill97,19,35,54,4th,No (1),4th,31 (1),1st,0 (3),4th,1.742 (1),6,,16,5,1,0,12,2,1,0,16,Mystique,Loki,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,Thor was too busy partying while the right hand side fought hard and kept getting wounded.
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4,"Galactus Says ""Get Back-tus""",1,Pervavita & Catswifti,37,17,54,1st,No (2.5),3rd,26 (2),1st,3 (4),1st,2.077 (4),12.5,,20,6,2,0,4,4,1,0,11,Hulk,Thing,Hulk,Thing,Second attempt,4,As we are in the elimination bracket we just went for fun (HULK SMASH) over trying to win. unfortunately we didn't win both games. It was fun trying to break Galactus out of an invisible box.
,,2,jgoodnough,11,40,51,1st,No (2.5),1st,28 (3.5),4th,8 (1),2nd,1.821 (3),10,,29,3,1,0,2,4,1,0,8,Invisible Woman,Wolverine (X-Men),Invisible Woman,Wolverine (X-Men),Second attempt,5,Several Strikes early in the game destroyed a lot of the city which allowed several villains to get away.  0-2 vs Galactus
,,3,Astigmatic_Oracle,10,6,16,1st,No (2.5),1st,28 (3.5),3rd,7 (2),4th,0.571 (1),9,,4,0,1,0,7,3,1,0,12,Thor (Avengers),Black Widow,Rogue,Black Widow,Second attempt,2,I really hate the double timer setups
