Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,
,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,,
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,
,,,,Upper Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,NukinFoobs & N3m3sis,43,19,62,1st,Yes (5),6th,30 (4),4th,1 (5.5),7th,2.067 (3),17.5,,24,6,0,3,3,4,0,0,10,Ultimate Spider-Man,Old Man Logan,Ultimate Spider-Man,Invisible Woman,Second attempt,4,Very rough setup. It was fun trying to navigate the villains to try and limit what comes back from the victory piles. The spider-men do what spider-men do. Game 1 we tried old man Logan to combo with torch and gamora but it didn't work out well. We actually won that game faster but had more escapes. Game 2 we tried invisible woman and got lucky to be able to use her focus to cover up living dead villains with bystanders. We did take a bit longer and had a slightly lower PPT but figured it was better to only have the 1 escape and take a little longer. Overall it was a fun setup that took some out of the box thinking and brought a good challenge,
,,7,Loconnole & Klcgolf,53,0,53,1st,Yes (5),4th,22 (6),8th,3 (1.5),5th,2.409 (5),17.5,,53,2,2,3,9,4,0,0,18,Ultimate Spider-Man,Invisible Woman,Ultimate Spider-Man,Magik,Second attempt,4,We got much luckier on our deck shuffle the second time. Ultimate Spider-Mans rare was super over powered. Both times the player that went with the spider man deck ended up just killing everything off and there was no vp left for the other player.,
,,8,zorotok,4,53,57,1st,Yes (5),7th,32 (3),6th,2 (3.5),8th,1.781 (2),13.5,,49,3,1,1,5,2,0,0,9,Captain Marvel,Lady Thor,Captain Marvel,Lady Thor,First attempt,4,Spider-man seemed to always be in the way. We were able to wall-crawl him to our hand to get some extra strength heroes for Marvelous Strength card. Other than that he was a cheap scratch card to KO when fighting the henchmen. We had a hand that took anything to cycle the HQ and one hand that was pure Captain Marvel and Lady Thor.,
,,9,Bikk_Bikk,51,9,60,1st,Yes (5),9th,41 (1),4th,1 (5.5),9th,1.463 (1),12.5,,42,10,0,0,0,0,0,0,0,Invisible Woman,Proxima Midnight,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"Reality, Soul, Time, Space.

Only got one attempt in this week. Not enough time for the second. But what a game it was!
On turn 1 I acquired my first Unseen Rescue. And the left hand from there was an absolute burying machine. I got another UR and some Four of a Kinds and tore through the deadlands. I never got a Disappearing Act but with some lucky radiation bystanders and shots at undead Hydra and MODOK I whittled the deck down and every other turn I was slamming. Left focused on keeping the city clear of the baddies and burying them so it stayed barren. 
So who was the star of the right hand? The freaking soul gem. Right hand began as a Symbiote Spider-Man deck, a simple dream. Turns unfolded and one, two gems were acquired. Reality and Space were obtained early. They bounced in and out until the right acquired the soul gem. Then things got interesting as we started defeating ghost racers and stacked up shards on the gem. The picture became clearer. 
Schemes occurred and Right had to drop gems but never had to drop the SG which allowed me to quickly defeat the other gem entering the city, and keep building its shard count. End of game I had 7 shards on the soul gem, meaning I had at least 7 attack every turn in the ""weaker"" deck. 
We hit turn 40, had one card left in the VD and it was right hands turn and I laid down the time gem, making three total, one to go until the task was complete. Switching to left hand would mean defeat as Gobs had two tactics left and the final blow, there was no way we could muster that amount of attack. There was only one way to win. I activated the time gem, and drew my next right hand and lo' and behold the space gem was among the six I drew. I activated my fourth gem after the last ghost racer moved from the VD into the city. Do your worst racer, for I am inevitable The gauntlet was forged. The primarily spidey-deck (filled with wounds because of human torch) had acquired the four gems listed at the top of this comment, and the Zombified corpse of Norman Osborn was turned to ash. ",
,,10,croy_boy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6,Rise of the Infinite Dead,1,ggyppt,68,56,124,1st,Yes (4.5),1st,36 (5.5),1st,2 (5),2nd,3.444 (4.5),19.5,,12,17,1,0,5,0,0,1,7,Venomized Dr. Strange,Black Panther (MCU),Venomized Dr. Strange,Black Panther,Second attempt,4,"Overall a good time, and got to use some heroes I hadn't used yet, so that's always fun",
,,2,Off the Cuff,55,96,151,1st,Yes (4.5),3rd,41 (4),4th,3 (3),1st,3.683 (6),17.5,,41,20,1,0,0,3,0,0,4,Black Panther (MCU),Captain Marvel,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"I was uncharacteristically lucky in getting no Twists until the back half of the game. I thought it would be a nuisance having to deal with Thanos' Stones and the Scheme's Zombies at the same time, but the Drones handing out Bystanders made it far more manageable",
,,3,Mikeygill97,87,68,155,1st,Yes (4.5),4th,45 (3),1st,2 (5),2nd,3.444 (4.5),17,,19,19,0,0,1,0,0,0,1,Black Panther,Dr. Strange (Illuminati),I did not play a second attempt.,I did not play a second attempt.,First attempt,4,I kept putting back the Infinity Stone that caused me to take another turn without playing another card from the Villain deck and also the Dr. Strange (MCU) card that allowed me to take another turn without playing another card from the villain deck to keep me in the game as the Masterminds from the Deadlands kept escaping.,
