Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments
,,6,Mangostrike,41,58,99,6th,No (1),6th,41 (1),1st,0 (3.5),6th,2.415 (1),6.5,,17,4,0,0,0,0,0,0,0,Agent Phil Coulson,Deathlok,Amadeus Cho,Bruce Banner,Second attempt,4,This was so brutally difficult. The first part of the villain deck was all twists and lethal legion. I couldn’t get any traction until the 35th turn! I did manage to get a couple of rares to trigger which was fun.
,,7,Cobrawarrior521 & Cobrev,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,8,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,9,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,10,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,11,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,8,Loconnole & Klcgolf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E10,Subatomic Annihilation,1,jgoodnough,40,58,98,1st,Yes (5),1st,38 (5),1st,4 (5),1st,2.579 (5),20,,18,6,1,4,2,1,0,1,9,Fantastic Four United,Daredevil Noir,Daredevil Noir,Captain America,First attempt,5,very fun game trying to manage the city to keep Annihilus' strikes from getting out of control.
,,2,Gideon Wyatt & Wife,16,44,60,2nd,No (2.5),2nd,25 (4),2nd,6 (2.5),2nd,2.4 (4),13,,28,16,2,9,10,3,1,4,29,Ant-Man,Fantastic Four United,Ant-Man,Fantastic Four United,Second attempt,2,Holy cow! We made it to turn 25! My wife hit the MM 2 times in one turn too! I actually thought we might win and then a MS hit with a villain followed by a Twist with another twist filling the city and sending our last escape out of the city. We got so lucky with twists being in the bottom of the deck and hero rares being in the top. All but Wasp's rare were recruited.
,,3,Techfiend,6,4,10,2nd,No (2.5),3rd,14 (3),2nd,6 (2.5),4th,0.714 (2),10,,2,1,3,7,16,4,1,12,43,Ant-Man,Mr. Fantastic,Ant-Man,Mr. Fantastic,Second attempt,1,"This is, without a doubt, the least favorite Legendary setup I've ever played. I ran it 3 times, and lost on turns 6, 14, and 9. Submitted run 2, as if it matters. Chaining twists into master strikes into queens of annihilation into armadas, which bring back henchmen is absolutely the worst ever. Kudos to Kylah for finding the single worst Legendary game ever :)"
,,4,dontfeedthegreen,7,2,9,2nd,No (2.5),4th,12 (2),2nd,6 (2.5),3rd,0.75 (3),10,,5,0,4,7,17,6,2,9,45,Daredevil Noir,Wonder Man,Wonder Man,Daredevil Noir,Second attempt,1,"1st attempt: 4/2 starter hands on both decks and early Twists meant 3 escapes before I even re-shuffled. Then the first Strike hit back-to-back Queens of Annihilation and I was done for. 2nd attempt: Weaponized Galactus was out before I re-shuffled, so I was quickly wounded and down to 4 city spaces. A triple-twist chain finished me off. This is not a set up that I would want to try again in a hurry. I don’t mind the odd hard set up, and I may just be grumpy because I’m recovering from dental surgery, but this is the 2nd in a row that has seemed engineered to be devilishly hard, and it’s not just my pods where I’m seeing comments on the difficulty level. Definitely dampens my enthusiasm for bothering to continue with the Eliminated Pods."
,,5,Pervavita & Catswifti,0,0,,2nd,No (2.5),5th,11 (1),2nd,6 (2.5),5th,0 (1),7,,0,0,2,5,24,8,2,0,41,Mr. Fantastic,Heralds of Galactus,Mr. Fantastic,Heralds of Galactus,Second attempt,1,"Game 1 we lost turn 6 as the scheme twist and MS just chained together. Game 2 Weaponized Galactus made 3 appearances withing the chain of twist.  
in each game it ended before we could even start using the cards we had recruited really (game 1 we only saw 1 card each). 
I didn't bother to track the villain deck at the end as it's not worth the time so I just picked numbers. "
,,6,croy_boy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,7,Justitiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,8,Off the Cuff,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,9,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,10,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,11,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,9,Jinjoz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E11,DEFCON Hulk,1,Bronson & Lighthouse,67,16,83,1st,Yes (2),2nd,25 (2),1st,0 (3),1st,3.32 (3),10,,51,17,0,3,4,3,1,0,11,Hiroim,"No-Name, Brood Queen",Hiroim,"No-Name, Brood Queen",Second attempt,3,I picked these two to have a KO / bystander combo… ironically the other hand did so much better with Hulkbuster supplemented by a couple key Jocasta and Star-Lord.
,,2,Izalot,20,31,51,1st,Yes (2),1st,18 (3),2nd,4 (2),2nd,2.833 (2),9,,11,9,3,3,8,3,1,1,19,Caiera,"No-Name, Brood Queen",Groot,Gamora,Second attempt,5,"Lots of fun with this setup (shame it's the elimination round). I won using a WWH set up, but wasn't too happy with my strategy of taking too long taking care of the helicopters, so I went with GoG set up for next try and wiped out the helicopters very quickly! Much better score as a result."
,,3,Mikeygill97,37,22,59,1st,Yes (2),3rd,27 (1),3rd,5 (1),3rd,2.185 (1),5,,15,15,1,2,4,3,0,0,10,Beast (X-Men),Banshee,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Ross has been found guilty of treason and has exchanged his rank number to a prisoner number.
,,4,Bikk_Bikk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,5,Brentcampbell9790,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,6,ggyppt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,7,mwade93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,8,SharkNate-O & onthegeniusofsamrockwell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,9,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,10,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,11,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,9,NukinFoobs & N3m3sis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
