Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments
,,3,So,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,Very,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,Sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,Played,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,;-(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,Mandarin Puts a Ring on a Widow,1,Astigmatic_Oracle,34,22,56,1st,No (1),1st,31 (1),1st,3 (1),1st,1.806 (1),4,,12,2,2,1,5,1,0,2,11,Korg,Adam Warlock,Korg,Adam Warlock,Second attempt,2,"First game the decks didn't take off fast enough. Second game I had it under control, even avoiding Mandarin's tactic that adds a ring to the escape pile of you have no tech despite no tech heroes by using Fitzsimmons. Then I had a Twist chain end the run."
,,1,Astigmatic_Oracle,34,22,56,1st,No (1),1st,31 (1),1st,3 (1),1st,1.806 (1),4,,12,2,2,1,5,1,0,2,11,Korg,Adam Warlock,Korg,Adam Warlock,Second attempt,2,"First game the decks didn't take off fast enough. Second game I had it under control, even avoiding Mandarin's tactic that adds a ring to the escape pile of you have no tech despite no tech heroes by using Fitzsimmons. Then I had a Twist chain end the run."
,,1,Astigmatic_Oracle,34,22,56,1st,No (1),1st,31 (1),1st,3 (1),1st,1.806 (1),4,,12,2,2,1,5,1,0,2,11,Korg,Adam Warlock,Korg,Adam Warlock,Second attempt,2,"First game the decks didn't take off fast enough. Second game I had it under control, even avoiding Mandarin's tactic that adds a ring to the escape pile of you have no tech despite no tech heroes by using Fitzsimmons. Then I had a Twist chain end the run."
,,1,Astigmatic_Oracle,34,22,56,1st,No (1),1st,31 (1),1st,3 (1),1st,1.806 (1),4,,12,2,2,1,5,1,0,2,11,Korg,Adam Warlock,Korg,Adam Warlock,Second attempt,2,"First game the decks didn't take off fast enough. Second game I had it under control, even avoiding Mandarin's tactic that adds a ring to the escape pile of you have no tech despite no tech heroes by using Fitzsimmons. Then I had a Twist chain end the run."
,,1,Astigmatic_Oracle,34,22,56,1st,No (1),1st,31 (1),1st,3 (1),1st,1.806 (1),4,,12,2,2,1,5,1,0,2,11,Korg,Adam Warlock,Korg,Adam Warlock,Second attempt,2,"First game the decks didn't take off fast enough. Second game I had it under control, even avoiding Mandarin's tactic that adds a ring to the escape pile of you have no tech despite no tech heroes by using Fitzsimmons. Then I had a Twist chain end the run."
,,1,Astigmatic_Oracle,34,22,56,1st,No (1),1st,31 (1),1st,3 (1),1st,1.806 (1),4,,12,2,2,1,5,1,0,2,11,Korg,Adam Warlock,Korg,Adam Warlock,Second attempt,2,"First game the decks didn't take off fast enough. Second game I had it under control, even avoiding Mandarin's tactic that adds a ring to the escape pile of you have no tech despite no tech heroes by using Fitzsimmons. Then I had a Twist chain end the run."
,,1,Astigmatic_Oracle,34,22,56,1st,No (1),1st,31 (1),1st,3 (1),1st,1.806 (1),4,,12,2,2,1,5,1,0,2,11,Korg,Adam Warlock,Korg,Adam Warlock,Second attempt,2,"First game the decks didn't take off fast enough. Second game I had it under control, even avoiding Mandarin's tactic that adds a ring to the escape pile of you have no tech despite no tech heroes by using Fitzsimmons. Then I had a Twist chain end the run."
,,1,Astigmatic_Oracle,34,22,56,1st,No (1),1st,31 (1),1st,3 (1),1st,1.806 (1),4,,12,2,2,1,5,1,0,2,11,Korg,Adam Warlock,Korg,Adam Warlock,Second attempt,2,"First game the decks didn't take off fast enough. Second game I had it under control, even avoiding Mandarin's tactic that adds a ring to the escape pile of you have no tech despite no tech heroes by using Fitzsimmons. Then I had a Twist chain end the run."
,,1,Astigmatic_Oracle,34,22,56,1st,No (1),1st,31 (1),1st,3 (1),1st,1.806 (1),4,,12,2,2,1,5,1,0,2,11,Korg,Adam Warlock,Korg,Adam Warlock,Second attempt,2,"First game the decks didn't take off fast enough. Second game I had it under control, even avoiding Mandarin's tactic that adds a ring to the escape pile of you have no tech despite no tech heroes by using Fitzsimmons. Then I had a Twist chain end the run."
,,1,Astigmatic_Oracle,34,22,56,1st,No (1),1st,31 (1),1st,3 (1),1st,1.806 (1),4,,12,2,2,1,5,1,0,2,11,Korg,Adam Warlock,Korg,Adam Warlock,Second attempt,2,"First game the decks didn't take off fast enough. Second game I had it under control, even avoiding Mandarin's tactic that adds a ring to the escape pile of you have no tech despite no tech heroes by using Fitzsimmons. Then I had a Twist chain end the run."
,,1,Astigmatic_Oracle,34,22,56,1st,No (1),1st,31 (1),1st,3 (1),1st,1.806 (1),4,,12,2,2,1,5,1,0,2,11,Korg,Adam Warlock,Korg,Adam Warlock,Second attempt,2,"First game the decks didn't take off fast enough. Second game I had it under control, even avoiding Mandarin's tactic that adds a ring to the escape pile of you have no tech despite no tech heroes by using Fitzsimmons. Then I had a Twist chain end the run."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
