Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,"By-
standers
rescued","Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)","Attempt
Used",Fun Level (no slash),Fun Level,Comments
,,9,ChuckBau3r,46,22,68,1st,Yes (5.5),4th,27 (7),10th,1 (1),9th,2.519 (2),15.5,,24,3,Domino,Mr. Fantastic,Domino,Mr. Fantastic,Second attempt,4,4/5,"With all the card draw from Wolverine, and the yellow/black coordination of Moon Knight, Mr Fantastic, was a no bracket to bring along. Domino was great support, but Mr Fantastic was definitely the MVP here!"
,,10,Dre 2 point 0,41,32,73,1st,Yes (5.5),8th,30 (2),1st,0 (6),10th,2.433 (1),14.5,,9,1,Iron Fist,Punisher,Iron Fist,Punisher,Second attempt,3,3/5,"Man, Mephisto sucks! I felt my hero strategy would be sound but my first game was a total slog. Second game had a great start, which just goes to show that it all comes down to the shuffle."
10,Bastion Frames Heroes for Murder,1,JustHarold,45,44,89,1st,Yes (7),3rd,24 (7.5),1st,0 (8),1st,3.708 (10),32.5,,1,17,Star-Lord,Rocket Raccoon,Adam Warlock,Ronan the Accuser,First attempt,4,4/5,Very tricky villan deck and scheme twist. Have to manage the heros in the HQ and keep vilans from flying out of the city. Got a bit lucky not seeing any master strikes early so I could get a couple of hits on bastion at 4. The master strike abilities were not exactly punishing
,,2,BleshInTheFlesh,26,63,89,1st,Yes (7),5th,25 (6),1st,0 (8),2nd,3.56 (9),30,,37,15,Captain Mar-Vell,Nova (Avengers),I did not play a second attempt.,I did not play a second attempt.,First attempt,2,2/5,Difficult round
,,3,pspblink,27,25,52,1st,Yes (7),1st,18 (10),1st,0 (8),7th,2.889 (4),29,,2,12,Adam Warlock,Star-Lord,Gamora,Star-Lord,Second attempt,2,2/5,Artifacts & Shards were crucial
,,4,caseystahl1125,35,34,69,1st,Yes (7),2nd,22 (9),6th,1 (5),4th,3.136 (7),28,,1,12,Phyla-Vell,Rocket Raccoon,M,Stepford Cuckoos,Second attempt,5,5/5,My first attempt I was railroaded by schemes early and all my heroes were framed for murder....my second attempt I put in M and Stepford Cuckoos and cloned my way to a pretty decisive victory early...I think I shuffled better second game too.
,,5,AdvSwaY,53,34,87,1st,Yes (7),6th,28 (5),1st,0 (8),5th,3.107 (6),26,,19,13,M,Stepford Cuckoos,M,Stepford Cuckoos,Second attempt,4,4/5,"Fun game! Went with M and the Stepford gals mainly because all M cards cost three. worked out pretty well, the HP was easy to recruit to avoid the schemes. Drak's artifact ""knives of the hunter"" enabled M to hit her formation easily. Danger sense helped alot as well. Over all great fun game and not as challenging as i anticipated."
,,6,Redblock,38,47,85,1st,Yes (7),3rd,24 (7.5),7th,2 (3),3rd,3.542 (8),25.5,,9,17,Rocket Raccoon,Phyla-Vell,Rocket Raccoon,Phyla-Vell,Second attempt,3,3/5,"Never faced Bastion before, and actively dislike him after this. Too many moving parts to follow each turn. Failed first attempt and had escapes in second. You have city with two spots free, and Supergiant just has to find sentinels...."
,,7,Jerzin,58,38,96,1st,Yes (7),7th,35 (4),7th,2 (3),8th,2.743 (3),17,,20,20,Rocket Raccoon,Nebula,I did not play a second attempt.,I did not play a second attempt.,First attempt,2,2/5,OMG! Supergiant ambush bring another Supergiant which bring Sentinel ONE which bring another Sentinel. Two escaped villains from this combo. Rocket generated many shards to get victory at least but Bastion with his multiplying is always long run game.
,,8,Yeeches,47,45,92,8th,No (2),10th,34 (1),1st,0 (8),9th,2.706 (2),13,,2,19,Gamora,Rictor,Gamora,Rictor,First attempt,4,4/5,"Pretty tough setup! Hard to hit so many masterminds before the timer scheme with lots of deck thinning effects. I had to do Rictor and Shatterstar and tried a Guardians side, getting the twist to wiff once just wasn't enough."
,,9,Drewfusmcge,56,47,103,8th,No (2),8th,35 (2.5),7th,2 (3),6th,2.943 (5),12.5,,9,19,Phyla-Vell,Rictor,Quasar,Siryn,First attempt,2,2/5,"Decent setup, but some bad luck made it really hard to win. Probably could have spent some more time on hero choice. Look out loser's bracket, here I come!"
,,10,Lasombra81,22,39,61,8th,No (2),8th,35 (2.5),10th,4 (1),10th,1.743 (1),6.5,,17,12,Nebula,Gamora,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,3/5,None
11,Klaw's Age of Ultron,1,OllieKitKat & Kylah15,12,50,62,1st,Yes (5.5),1st,15 (10),5th,1 (5),1st,4.133 (10),30.5,,38,6,Princess Shuri,Wonder Man,Princess Shuri,Ant-Man,Second attempt,5,5/5,"We weren't sure whether or not to switch a hero cause our first game went alright, but we thought it over for a bit and decided Ant-Man deserved a chance. Size changing helped recruit a TON plus when so much was empowered by tech it's almost like they were hardly empowered."
,,2,snash108 & SBPKECN,38,51,89,1st,Yes (5.5),2nd,24 (9),5th,1 (5),3rd,3.708 (8),27.5,,13,6,Lady Thor,Princess Shuri,Lady Thor,Princess Shuri,First attempt,5,5/5,"Brought Lady Thor to support Captain Marvel, and Princess Shuri to help Jocasta. Her uncommon's HQ cycle was also very helpful.

Got fairly lucky and Klaw was empowered by Instinct most of the game, with Venom Rocket's common and Shuri's rare being the only instinct cards available! Which meant Jocasta's employment was always far stronger!"
,,3,Silverfox & Blushingether,68,68,136,1st,Yes (5.5),8th,36 (2.5),1st,0 (8.5),2nd,3.778 (9),25.5,,0,7,Ant-Man,Lady Thor,Ant-Man,Lady Thor,Second attempt,3,3/5,Lady Thor and Captain Marvel for player 1 and Ant Man and Jocasta for player 2. They really worked well with each other.
,,4,NukinFoobs & N3m3sis,73,63,136,1st,Yes (5.5),10th,37 (1),1st,0 (8.5),4th,3.676 (7),22,,10,6,Ant-Man,Lady Thor,Ant-Man,Lady Thor,First attempt,4,4/5,Had to take quite a bit of time to take out the evolved ultrons that filled the city so both attempts took longer than expected. After that it was just cleanup with the mastermind
,,5,Jean-Sebastien & Genevieve,64,47,111,1st,Yes (5.5),7th,34 (4),1st,0 (8.5),7th,3.265 (4),22,,17,6,Princess Shuri,Wonder Man,Princess Shuri,Wonder Man,First attempt,4,4/5,"Luck was more important than skill for this setup. Because of the Scheme Twists entering the City it is very possible to get overwhelmed very quickly! Empower mechanic is very fun though, both for Villain and for Heroes."
,,6,Captain Cardone & Paisley5002,32,67,99,1st,Yes (5.5),6th,32 (5),1st,0 (8.5),9th,3.094 (2),21,,35,6,Ant-Man,Lady Thor,Ant-Man,Lady Thor,First attempt,5,5/5,"There was a sense of urgency in this one, but we always managed to keep up. The setup was very interesting as well. Loved this setup and how the mastermind and the scheme both used similar mechanics, forcing us to work around them. We decided to acknowledge that twists were just always 9s with our hero choices."
,,7,CombatantMoth & QueenKate34,41,52,93,1st,Yes (5.5),3rd,27 (7),9th,3 (2),6th,3.444 (5),19.5,,11,5,Superior Iron Man,Ant-Man,Superior Iron Man,Ant-Man,Second attempt,4,4/5,We had bad luck both games with the Villains coming fast and furious. We only had one Master Strike and one Bystander in our second game (the one we submitted) to give us reprieve the whole game and Ultron was fully powered pretty quick. But it was fun to have to take turns managing the city the whole game.
,,8,Grey Warden & Blue Queen,64,64,128,1st,Yes (5.5),8th,36 (2.5),5th,1 (5),5th,3.556 (6),19,,0,5,Lady Thor,Princess Shuri,Wonder Man,Princess Shuri,First attempt,4,4/5,"Shuri's choice empowerment is just such a crazy help. Lady Thor really didn't pill her weight but on game 2, even though Wonder Man was more helpful, Klaw and the Ultrons took all of the ramp cards from Shuri and Captain Marvel. In both games Queen hugged all the rares lol"
,,9,GZUZROCKS & MyBestPardner,54,34,88,1st,Yes (5.5),3rd,27 (7),8th,2 (3),8th,3.259 (3),18.5,,20,7,Proxima Midnight,Ant-Man,Proxima Midnight,Ant-Man,First attempt,4,4/5,This was really fun. I tried to pick heroes with minimal dual traits as that would increase Klaw and evolved ultron HPs. The strategy seemed to pay off :-).
,,10,Loconnole & Klcgolf,27,40,67,1st,Yes (5.5),3rd,27 (7),10th,6 (1),10th,2.481 (1),14.5,,13,5,Lady Thor,Wonder Man,Lady Thor,Wonder Man,Second attempt,5,5/5,"Crazy good synergy, we went through a nail biter the first round and then had much quicker second"
12,Thanos Provokes the Sovereign War Fleet,1,Mr_Giraffe,56,37,93,1st,Yes (5.5),2nd,24 (9),5th,3 (5.5),2nd,3.875 (9),29,,19,5,Rocket & Groot,Black Panther (MCU),I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,No early masterstrikes and the scheme allowing me to get Caps rare pretty really on sealed Thanos’s Doom
,,2,R3DJ0N,79,18,97,1st,Yes (5.5),3rd,25 (7.5),5th,3 (5.5),1st,3.88 (10),28.5,,61,13,Black Panther (MCU),Wanda & Vision,Black Widow,Nick Fury,Second attempt,3,3/5,"I thought I wouldn't need much KO since the henchman and villains had it. But I didn't see many of those.  BP and WandVision really under performed so I changed them out for the 2nd attempt. Player 2 made the sacrifice play and frequently coordinated, and kept losing their stones to masterstrikes. Player 1 had a good Gamora deck and KO'd all their starting cards. Cap was pulling his weight. Black Widow didn't show except for a single copy of Mission Accomplished. I'm disappointed I used both Black Widow and Black Panther to not much effect."
,,3,JesterJeeto,52,41,93,1st,Yes (5.5),5th,28 (6),1st,1 (10),5th,3.321 (6),27.5,,11,3,Wanda & Vision,Iron Man,Star-Lord (MCU),Bruce Banner (MCU),Second attempt,4,4/5,"I thought for sure that Tony Stark was going to be trash, but a lot of his cards came up early and helped get the ball Rollin."
,,4,RemingtonChase,56,29,85,1st,Yes (5.5),1st,23 (10),8th,5 (2.5),3rd,3.696 (8),26,,27,3,Black Panther (MCU),Captain Marvel (MCU),Black Panther (MCU),Captain Marvel (MCU),Second attempt,5,5/5,"Rough to decide between my two games, ended up choosing the one with more escapes. Last tournament that was my downfall, but I guess I never learn. Super fun setup. Gamora, Captain Marvel, and Black Panther are an insane combo. It may have been a mistake to not choose Black Widow, but hopefully that risk pays off."
,,5,Jalt,45,53,98,1st,Yes (5.5),7th,32 (3.5),2nd,2 (8),6th,3.063 (5),22,,8,5,Black Panther (MCU),Drax (MCU),Black Panther (MCU),Drax (MCU),Second attempt,5,5/5,"That first game....it was basically over by turn 6 due to a really bad shuffle. Turn two went way better than expected. I was able to get the hand of BP/Cap on side and Drax/Gamora on the other and near the end I was usually 1-2 attack shy of being able to hit Thanos twice a turn, on both sides. I may have been able to end it sooner, but I had to keep focusing on the city to make sure I didn't lose to the scheme. I tried my best to prevent escapes, but the twists wouldn't allow for 0. I was able to prevent 0 stones from escaping so Thanos never really got over buffed."
,,6,dontfeedthegreen,35,57,92,1st,Yes (5.5),7th,32 (3.5),2nd,2 (8),8th,2.875 (3),20,,22,6,Wanda & Vision,High Tech Spider-Man,Bruce Banner (MCU),Black Panther (MCU),First attempt,5,5/5,"Really fun set up. Thoroughly enjoyed both games. WandaVision & High Tech Spidey got a very favorable Villain deck shuffle, with lots of Henchmen & Salvagers in the early game. Early sacrifices from Vision helped build powerful, trimmed decks. The only low point really, was when I chose to hit Thanos with 2 Villains in the city. The next turn brought a cascade of 4 Omnicraft causing Gef to escape on the Ravager ship (the elusive Gef was 1st to escape in both games). Thanos promptly took the ship from him, and that +3 Attack stalled me a bit. Then a Strike grabbed the Stone-keeper Red Skull out of the city too (the only other escape for that game). Bruce and T’Challa’s game was a lot less friendly, with a run of Twists and the Time Gem before I’d even cycled both decks! I did end up with slightly more VP (mainly thanks to A Day Unlike Any Other and As Usual I Did All the Work), but 3 turns longer and FIVE more escapes!!"
,,7,Snatchcat,40,35,75,1st,Yes (5.5),3rd,25 (7.5),8th,5 (2.5),7th,3 (4),19.5,,5,6,Black Panther (MCU),Captain Marvel (MCU),Iron Man,Bruce Banner (MCU),Second attempt,4,4/5,"The Hero deck led me to a bunch of Iron Man cards on both sides, which was good since many Tech heroes were available to me from my selection. Player 1 was able to nab both Iron Man and Gamora's ults, while the other side picked up 2 of Iron Man's uncommon. Both sides did pretty well, each hitting Thanos at least a few times each, and while I did end up with a handful of escapes, only 1 Infinity Stone got away."
,,8,Ashyy,81,19,100,1st,Yes (5.5),6th,29 (5),10th,6 (1),4th,3.448 (7),18.5,,62,15,Black Widow,Black Panther (MCU),I did not play a second attempt.,I did not play a second attempt.,First attempt,3,3/5,Gamora threw me off my game since I was using all avengers heroes 🥺
,,9,Jinjoz,54,40,94,1st,Yes (5.5),9th,34 (1.5),2nd,2 (8),9th,2.765 (2),17,,14,6,Black Panther (MCU),Captain Marvel (MCU),Black Panther (MCU),Rocket & Groot,Second attempt,4,4/5,"First game was just bad luck, hit a couple pockets of scheme twists and was dead on turn 15. I switched Captain Marvel Out for Rocket and Groot. Captain Marvel deals with the end game a lot and this scheme does add another villain group and the schemes twists just keep going back in the villain deck. Game two went great. Captain America and Black Panther slap, if I got below 4 on captain America's Common Cards I had to do a double take cause it rarely happened. Solid gameplay"
,,10,Jmaster1324,62,22,84,1st,Yes (5.5),9th,34 (1.5),7th,4 (4),10th,2.471 (1),12,,40,2,Black Panther (MCU),Star-Lord (MCU),Black Panther (MCU),Star-Lord (MCU),First attempt,4,4/5,"I went in thinking ""Oh 11 fight thats not too bad"" and ""A scheme where I can some what fight ok."" I saw Captain America and Gamora then thought ""Ok I'll just pump CA with BP and Artifacts with Star Lord."" Well that would have worked if in game 1 CA had shown up at all before turn 20 (I legit thought I had forgotten him like Thanos last week) and if I had had any artifacts show up at all in game 2. Ultimately I tried my best and won. It was really fun hopefully I'm in the top half but I won't be surprised if not."
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,,,,,
13,Malekith Hires Singularity Investigations To...,1,Avataristche,28,40,68,1st,Yes (5),1st,20 (9),1st,0 (8),1st,3.4 (9),31,,12,18,Jessica Jones,Stepford Cuckoos,Jessica Jones,Stepford Cuckoos,Second attempt,5,5/5,"First i conceded at turn 7, i had 3 twists, an escape and dead hq by that point. The second went a lot better, Jessica's rare tucked 2 twists, so i managed to win before unveiling. Cuckoos did all the work, however ""pricey"" side managed to get all the 12 mm vp ^^"
,,2,dyn0mike27,23,20,43,1st,Yes (5),2nd,21 (7.5),1st,0 (8),5th,2.048 (5),25.5,,3,15,Rictor,Shatterstar,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,5/5,"Unveiled Scheme? More like Unnecessary Scheme! Rictor and Shatterstar teamed up to to shatter their way past Malekith’s villainous weapons and take him out before the 4th Twist was even drawn. Left side stuck to those chosen Heroes, while the right built a solid deck with the 3 pre-selected ones. Had every intention of ditching Squirrel Girls, but either the HQ was stale or she kept being useful! Shatter Team took out a double-weaponed Malekith to draw the only non-weapon Tactic, and the other side just so happened to have 8 Attack the next turn. It was a blast!"
,,3,Off the Cuff,17,33,50,1st,Yes (5),4th,22 (6),1st,0 (8),4th,2.273 (6),25,,16,17,Thor (Heroes of Asgard),Multiple Man,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,5/5,"I love Beta Ray Bill and I love Multiple Man, so it's great to get to use both of them in the same setup and have them both pop off like this. I won the exact turn the Scheme got Unveiled, and I was close to asking in the Discord what I could do if I won before the Scheme got Unveiled."
,,4,CGlied,29,21,50,1st,Yes (5),2nd,21 (7.5),6th,2 (3),2nd,2.381 (8),23.5,,8,16,Lady Sif,Thor (Heroes of Asgard),Lady Sif,Thor (Heroes of Asgard),Second attempt,4,4/5,"Played through this one twice and first game won in a romp without the unveiled scheme being revealed. Second game was way more of slog, but when I compared scores I was pretty surprised that #2 was probably the stronger game. Fun setup and combining the least fantastic world (Noir) with the most (Heroes of Asgard) was a fun juxtaposition."
,,5,Mikeygill97,27,28,55,1st,Yes (5),5th,24 (5),4th,1 (5.5),3rd,2.292 (7),22.5,,1,17,Strong Guy,Shatterstar,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,5/5,Was really surprised I was able to get both Beta Ray and Shatter Star's rare as early as I did and also was able to get Luke Cage Noir's rare within the first 15-20 turns of the game which with all the KO's I was able to apply to thin the deck both decks were optimized to where Malekith is crying himself to sleep in the brig of the Skuttlebutt.
,,6,arnolamme,49,14,63,1st,Yes (5),9th,31 (1),4th,1 (5.5),7th,2.032 (3),14.5,,35,18,Jessica Jones,Ms. America,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,"Nice game, some of the heroes I had never played with before (switcheroo was new for me). Got a bit lucky with how the scheme twists fell and was able to investigate some to the bottom of the villain deck with Jessica Jones' rare. No twists stacked next to the mastermind when the scheme unveiled made the end a breeze!"
,,7,MrTInce,26,19,45,1st,Yes (5),6th,25 (4),6th,2 (3),9th,1.8 (1),13,,7,17,Jessica Jones,The Warriors Three,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,5/5,"Amazingly didn't get to the unveiled scheme. I picked heroes from the choices at random and I got to say it worked. Red, Green, Yellow heroes (Mainly) with costs of 4 plus made a great deck while the other side focused on discard. Plus I got to use Squirrel girls rare effect! I've never done that and getting to put a SHIELD officer into the hero deck was fun."
,,8,Montax30,33,22,55,1st,Yes (5),7th,27 (2.5),9th,3 (1),6th,2.037 (4),12.5,,11,14,M,Man-Thing,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,I was so close to forgetting that M was an option but I remembered to check the Master Strike link. Saved my game! I picked Man Thing for the teleport ability and it paid off. The Warriors Three would have been my other option.
,,9,ItStartsWith1,29,24,53,1st,Yes (5),7th,27 (2.5),6th,2 (3),8th,1.963 (2),12.5,,5,18,Thor (Heroes of Asgard),Jessica Jones,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,"Fun game! Some very good luck with the VD allowed me to really hone my decks, and they both ended up taking off. Left side was a Luke Cage deck that just did its thing, culminating in a huge “Weight of the World” that finished Malekith. The right side was a Worthy Thrown Artifact deck that put up a couple huge turns, including hitting Mal 2x in one turn. Jessica Jones was clutch, allowing me to Switcheroo into the 4 and 5 costs that I needed for each side. Also, 3 rares in HQ for the first 2 unveiled twists really ensured I was in a good place to not lose to the scheme."
,,-,John_P,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-
14,Loki Bathes Earth in Cosmic Rays,1,SilverFirePrime,22,39,61,1st,Yes (6),1st,21 (10),1st,0 (9),5th,2.905 (6),31,,17,2,Hulk,Thing,Hulk,Thing,First attempt,4,4/5,Really needed the wound mitigation here.  Just so many different sources...including self inflicted ones via Hulk
,,2,Babybreloom,74,16,90,1st,Yes (6),5th,28 (5.5),1st,0 (9),2nd,3.214 (9),29.5,,58,19,Black Widow,Mr. Fantastic,Black Widow,Mr. Fantastic,Second attempt,3,3/5,"Mr. Fantastic was basically a mistake, but I wasn't going to NOT throw in Black Widow in a game featuring Deadpool and the Invisible Woman. I almost did a Hulk/Human Torch setup to answer Loki's Master Strikes but I knew that if I didn't use BW there'd be no chance for me in terms of VP and VP/turn."
,,3,JParnell,28,58,86,1st,Yes (6),5th,28 (5.5),1st,0 (9),3rd,3.071 (8),28.5,,30,4,Captain America,Emma Frost,Captain America,Emma Frost,First attempt,4,4/5,"Tough decisions between the two attempts- try 2 was 4 turns faster, but try 1 was MUCH higher points thanks to Emma's often maligned Shadowed Thoughts. We'll see if I picked right!"
,,4,Frank7666,50,35,85,1st,Yes (6),2nd,26 (8.5),8th,2 (2),1st,3.269 (10),26.5,,15,6,Hulk,Black Widow,Hulk,Black Widow,Second attempt,5,5/5,I used black widow and hulk from core the sun is going down big guy.
,,5,Acituanbus,29,31,60,1st,Yes (6),4th,27 (7),4th,1 (5.5),10th,2.222 (1),19.5,,2,4,Thing,Hulk,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,We got really lucky with the schemes only koing 3 heroes
,,6,jgoodnough,35,25,60,1st,Yes (6),2nd,26 (8.5),8th,2 (2),8th,2.308 (3),19.5,,10,4,Captain America,Rogue,Black Widow,Hawkeye,Second attempt,4,4/5,Lot of fun
,,7,CaptainMetroidica,50,44,94,1st,Yes (6),9th,35 (2),4th,1 (5.5),6th,2.686 (5),18.5,,6,12,Human Torch,Thing,I did not play a second attempt.,I did not play a second attempt.,Second attempt,4,4/5,"I was trying to get some synergies with wolverine and invisible woman to mitigate the wounds coming out. Instead, I ended up turn after turn with not quite enough recruit and not quite enough attack, and couldn't thin my deck or KO wounds as often as I would have liked. Had fun with the set up, but think I didn't get the best shuffle of heroes either game."
,,8,Bronson,69,29,98,1st,Yes (6),8th,33 (3),8th,2 (2),4th,2.97 (7),18,,40,9,Human Torch,Thing,Human Torch,Thing,First attempt,2,2/5,Leaning into FF seemed like the strategic choice but maybe not in an elimination match
,,9,orbrover,57,9,66,1st,Yes (6),7th,29 (4),4th,1 (5.5),9th,2.276 (2),17.5,,48,2,Silver Surfer,Thor (Avengers),Silver Surfer,Thor (Avengers),First attempt,3,3/5,"Oh, that one non-grey hero you finally drew? Dead. haha!"
,,10,iburnicus,24,70,94,10th,No (1),10th,40 (1),4th,1 (5.5),7th,2.35 (4),11.5,,46,23,Hawkeye,Black Widow,Black Widow,Hawkeye,First attempt,1,1/5,"i lost both times so hard, its not even funny,
the idea was there, didnt see what i wanted when i needed it;
the twists showed up every worsed timing possible, got way more wounds than i expected, lost 2nd game to scheme and first one to deck out which i why i submit the villain deck-out one. loki showing he should not be underestimated in early legendary setups."
15,Emma Frost Sneak Attacks the Heroes' Homes,1,SilverGetzu & BanditBee,30,17,47,1st,Yes (5),1st,21 (9),1st,0 (7.5),4th,2.238 (6),27.5,,13,0,Beta Ray Bill,Thor (Heroes of Asgard),I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,"Some lucky Beta Ray Bill cards let hand 1 discard all the grey cards, making emma frost easier to hit early."
,,2,freeclint & gnomemaster,46,16,62,1st,Yes (5),3rd,24 (7),5th,1 (4.5),1st,2.583 (9),25.5,,30,7,Howard the Duck,Fantastic Four United,Howard the Duck,Fantastic Four United,Second attempt,5,5/5,"Really bad luck on attempt 1, but attempt 2 was great.  The Howard and super skrull deck got rolling and never looked back.  The FF deck with warriors 3 didn't ever take off.  Lots of fun, and redeeming after the luck with Mole man."
,,3,Pervavita & CatSwiftie,30,47,77,1st,Yes (5),6th,32 (3),5th,1 (4.5),2nd,2.406 (8),20.5,,17,8,Fantastic Four United,Heralds of Galactus,Fantastic Four United,Heralds of Galactus,Second attempt,5,5/5,"In our first run Galactus had consumed most of the city before the final scheme. We were slowed down by not having enough KO power in that deck. Round two FF united was running on all cylinders with a streamlined deck of 10 cards and able to draw it all each turn. We could hit the MM twice a turn in the end.
FFU and The Warriors Three worked outstanding together."
,,4,DRobb & ShadowOfTheBat,32,39,71,1st,Yes (5),6th,32 (3),1st,0 (7.5),5th,2.219 (5),20.5,,7,2,Karma,Man-Thing,Fantastic Four United,Ms. America,First attempt,4,4/5,We could have done a better job pick heroes that work good together for both games
,,5,Hatephd & EditedMist99,19,39,58,1st,Yes (5),4th,30 (5.5),1st,0 (7.5),8th,1.933 (2),20,,20,1,Wolfsbane,Fantastic Four United,Thor (Heroes of Asgard),Fantastic Four United,Second attempt,4,4/5,We saw 4 out of five rares in the hq at the same time. Didn’t stop us though.
