Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments
,,7,Flipflopmaniac,41,36,77,1st,Yes (5.5),9th,32 (1.5),1st,0 (7.5),6th,2.406 (5),19.5,,5,13,1,3,4,2,0,0,10,Black Panther,White Wolf,Black Panther,White Wolf,Second attempt,3,"Good setup, interesting pairing Lords of the Underworld with the Circus of Crime so there's some different top decking to think about.  I went with BP and White Wolf to get a lot of Hero Classes to mitigate the scheme.  Even with that choice, my first game had 6 Twists pop in 10 turns

MCU side settled on a single artifact and 4 Keeper of the Sanctums to keep the deck moving quickly and splashing Psi-Lords for symbols.  Comic side played Duck, Duck, Panther with Klaw and even with him pulling a BP card for his Final Blow, the Duck ran amuck and shut the party down before the fifth lost Duel."
,,8,GZUZROCKS & DaBomb,30,37,67,1st,Yes (5.5),3rd,29 (6.5),7th,1 (2.5),7th,2.31 (4),18.5,,7,12,1,2,4,4,1,0,12,Doctor Voodoo,Fantastic Four United,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,One player went all in on Fantastic Four and Psi-Lord while the other went all in on Voodoo and Dr Strange to help build the combos. Howard the Duck was sort of a 5th loose wheel...lol.
,,9,Lasombra81,49,17,66,1st,Yes (5.5),3rd,29 (6.5),7th,1 (2.5),9th,2.276 (2),16.5,,32,10,0,3,4,3,1,0,11,Brainstorm,Princess Shuri,Brainstorm,Princess Shuri,Second attempt,4,Bagelshuffle
,,10,canis & mamabird,29,38,67,1st,Yes (5.5),9th,32 (1.5),7th,1 (2.5),10th,2.094 (1),10.5,,9,15,2,0,7,1,0,0,10,Heralds of Galactus,Fantastic Four United,Heralds of Galactus,Fantastic Four United,First attempt,4,"Canis went Fantastic 5 (four united and Psi-Lord) but could never get Psi-lords psuedo danger sense to work. Mamabird had ""Harold and the Heralds"" and got enough ramp to end the game though"
7,Hela Goes Soul-Searching,1,Pervavita & Catswifti,29,40,69,1st,Yes (6.5),2nd,25 (10),1st,0 (10.5),2nd,2.76 (10),37,,11,2,2,2,5,3,0,0,12,Bruce Banner (MCU),Wanda & Vision,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Fun setup. We were able to manage the city well; just took a little time to build up for Hela.
,,2,Sneke#1302,35,26,61,1st,Yes (6.5),1st,18 (11),3rd,1 (8),1st,3.389 (11),36.5,,9,9,1,6,8,4,0,0,19,Spider-Man Noir,Phoenix,Spider-Man Noir,Beta Ray Bill,Second attempt,4,"Beta ray was fun, could get his weapon back quick through investigates, beserks, draw and schemes for every turn. Not having enough worthy cards to match was the downfall."
,,3,DanDare10,18,42,60,1st,Yes (6.5),3rd,27 (8),1st,0 (10.5),7th,2.222 (4.5),29.5,,24,10,3,4,6,0,0,0,13,Doctor Strange (MCU),Dazzler,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,An intriguing setup
,,4,snash108 & SBPKECN,34,26,60,1st,Yes (6.5),3rd,27 (8),3rd,1 (8),7th,2.222 (4.5),27,,8,10,2,2,6,2,0,0,12,Doctor Strange (MCU),Thor (Heroes of Asgard),Doctor Strange (MCU),Thor (Heroes of Asgard),Second attempt,4,Snash was Worthy to the extreme with Thor and Captain Marvel. SBPKECN was a phasing/investiate master with the awesome team-up of Daredevil Noir and Doctor Strange(MCU)!
,,5,HatePhD & editedmist,50,38,88,1st,Yes (6.5),7th,32 (4.5),6th,2 (6),3rd,2.75 (9),26,,12,11,1,2,0,3,0,0,6,Thor (Heroes of Asgard),Black Panther (MCU),Black Panther (MCU),Thor (Heroes of Asgard),First attempt,4,"Such stress, much fun"
,,6,Sandals,17,44,61,1st,Yes (6.5),3rd,27 (8),11th,6 (1),6th,2.259 (6),21.5,,27,10,0,5,4,3,0,0,12,Aurora & Northstar,Havok,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"That damned Wolf caused 3 escapes on his own! Hela was responsible for two more, striking into a full City. Once we got going though it was a blast! My wife went for Cpt Marvel and Having, I had an amazing Lightshow deck going with Aurora and Northstar plus a few other cards. Good fun"
,,7,jpilger,48,35,83,1st,Yes (6.5),9th,35 (3),7th,3 (4.5),5th,2.371 (7),21,,13,11,0,2,0,1,0,1,4,Black Panther (MCU),Banshee,Longshot,Beta Ray Bill,Second attempt,4,Fun villain and scheme combo.
,,8,iburnicus,36,41,77,1st,Yes (6.5),7th,32 (4.5),10th,5 (2),4th,2.406 (8),21,,5,8,1,3,0,2,0,0,6,Havok,Luke Cage Noir,Havok,Luke Cage Noir,First attempt,4,"great game!
got some amazing hits in late game while struggling through the early game.
havok rly made a range deck work on one side in a combo with capt marvel!"
,,9,Sway,43,21,64,1st,Yes (6.5),6th,31 (6),9th,4 (3),10th,2.065 (2),17.5,,22,5,1,2,4,2,0,0,9,Daredevil Noir,Angel Noir,Daredevil Noir,Angel Noir,Second attempt,3,pretty decent setup
,,10,DRobb & ShadowOfTheBat,40,48,88,1st,Yes (6.5),10th,40 (2),7th,3 (4.5),9th,2.2 (3),16,,8,11,0,2,0,0,0,0,2,Bruce Banner (MCU),Doctor Strange (MCU),I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"In  the beginning, it was pretty frustrating, we couldn't seem to get much traction at all. But the Endgame keyword from Carol came in CLUTCH. We were able to win at the last absolute possible minute, and that was pretty thrilling!"
,,11,Drewfusmcge,36,18,54,11th,No (1),11th,37 (1),3rd,1 (8),11th,1.459 (1),11,,18,4,1,1,0,0,0,0,2,Luke Cage Noir,Banshee,Luke Cage Noir,Banshee,Second attempt,1,Really not a fan of that wolf. Totally screwed up my first game. Second game went just as poorly too unfortunately.
8,Arnim Zola Downloads a Vampire Game,1,Jalt & KaitieAlt,35,49,84,1st,Yes (6),3rd,24 (7),1st,0 (7),1st,3.5 (9),29,,14,11,3,7,8,7,1,0,26,"Blade, Daywalker",Carnage,"Blade, Daywalker",Carnage,First attempt,4,Morbius morbed all over everyone.
,,2,ChuckBauer,25,26,51,1st,Yes (6),1st,20 (8.5),1st,0 (7),5th,2.55 (5),26.5,,1,5,5,5,12,9,1,0,32,Captain Britain,Spider-Gwen,Captain Britain,Spider-Gwen,Second attempt,4,"First match was more fun, as Spider Gwens Tech card went off crazy hard, but had a hard time getting rid of the printed attack in the HQ.

Second game was far faster because of that. As my decks were about ready, I managed to rescue a forklift driver, and tucked all of the attack cards to the bottom of the deck, and then hit Zola with all of my Blood Frenzy!!"
,,3,Adrian Miller,60,33,93,1st,Yes (6),5th,27 (5),1st,0 (7),2nd,3.444 (8),26,,27,13,2,6,7,6,0,0,21,Beast (Illuminati),Werewolf by Night,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,Was fun
,,4,R3DJ0N,46,39,85,1st,Yes (6),4th,26 (6),1st,0 (7),3rd,3.269 (7),26,,7,17,2,2,7,8,0,0,19,"Steve Rogers, Director of S.H.I.E.L.D.",Venompool,"Steve Rogers, Director of S.H.I.E.L.D.",Venompool,First attempt,4,"I tried to bring in some 0 to low printed attack heroes. With the Spider Infected and venompool, I also got savior to happen pretty quickly."
,,5,CaptainMetroidica,45,38,83,1st,Yes (6),6th,33 (4),1st,0 (7),6th,2.515 (4),21,,7,11,3,5,4,6,1,0,19,"Captain and the Devil, The",Werewolf by Night,"Captain and the Devil, The",Werewolf by Night,Second attempt,4,"First game was a train wreck where I had several escapes from 2x Marcus the Symbiote Centaur showing up with full cities. Lots of 4/2 that prevented me from doing much. Second game went much smoother. Lots of early recruit, moderate luck controlling sunlight/moonlight, and generated lots of attack to hit the mastermind and keep the city mostly full. I did get a little lucky, if I'd had a scheme twist on any of the last 4 turns I would have lost as I was going after the mastermind exclusively."
,,6,Echinoid,51,53,104,1st,Yes (6),7th,40 (3),6th,3 (3.5),4th,2.6 (6),18.5,,2,11,0,0,1,2,0,0,3,Captain Britain,"Wong, Master of the Mystic Arts",I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"I enjoyed the setup. One hand focused blue using mostly Strange/Wong, the other focused red/green using mostly Morbius/Britain. Cap 1941 didn't seem too useful. I hit a brick wall for a while where I had the city cleared but Zola had 16+ attack and I couldn't fight him. I was worried I would run out of turns but managed to deal the finishing blow with three cards left in the villain deck. Good game!"
,,7,Jmaster1324,10,38,48,1st,Yes (6),1st,20 (8.5),9th,5 (1),7th,2.4 (3),18.5,,28,4,5,6,9,10,1,0,31,"Dr. Punisher, Soldier Supreme","Captain and the Devil, The",Captain Britain,Werewolf by Night,Second attempt,3,"Being away for Thanksgiving was a blessing and a curse. I had time to play which I think will be difficult with peak being...now...which was nice but I had to make quick choices for heroes. Thankfully Jin got their video up just before the time we left. I took their suggestions and ran. The first game was trash I couldn't control the HQ at all and only hit Zolo once. However, my second run I don't think Zolo got above 15 attack and stayed at 8 for the most part. I even got 1 6 hit on him. I was unsure about how well Captain Britain would be but with his 0+ it really helped."
,,8,Dre 2 point 0,21,26,47,8th,No (1.5),9th,27 (1),6th,3 (3.5),8th,1.741 (2),8,,5,10,3,2,6,8,1,0,20,"Captain and the Devil, The","Wong, Master of the Mystic Arts",I did not play a second attempt.,I did not play a second attempt.,First attempt,3,"Despite using the HQ mulligan rule, I still ended up with several rares in there, and I didn’t even notice that the heroes I picked have 6 attack on their rare cards! Arnim Zola was sittin’ pretty the whole time."
,,9,Gambit34,21,35,56,8th,No (1.5),8th,35 (2),8th,4 (2),9th,1.6 (1),6.5,,14,12,1,1,3,4,0,0,9,Silk,Venom (Venomverse),Silk,Venom (Venomverse),Second attempt,3,Challenging opening set with lots of rules.
,,10,Excalipoor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,11,malorick_the_legend,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,Upper Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lower Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
